# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Feb 27 10:18:53 2026
#
# User preference: *
#
# CONSTRAINT:  where (pl_name_display not null
# CONSTRAINT:  and pl_radestr not null
# CONSTRAINT:  and pl_bmassestr not null
# CONSTRAINT:  and pl_orbeccenstr not null
# CONSTRAINT:  and pl_insolstr not null
# CONSTRAINT:  and st_teffstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN st_teff:        Stellar Effective Temperature [K]
#
pl_name,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,st_teff
HD 5278 b,2.45000000,7.80000000,0.080000,132.0000,6203.00
HD 6061 b,2.45000000,10.80000000,0.000000,339.1000,5920.00
HD 63935 b,2.99000000,10.80000000,0.000000,115.6000,5534.00
HD 63935 c,2.90000000,11.10000000,0.000000,36.7000,5534.00
HD 73583 b,2.84000000,15.90000000,0.294000,46.2000,4582.00
HD 73583 b,2.79000000,10.20000000,0.090000,43.3000,4511.00
HD 73583 c,2.39000000,9.70000000,0.080000,10.2000,4511.00
HD 73583 c,2.73000000,22.50000000,0.093000,11.7600,4582.00
HD 80653 b,1.61300000,5.72000000,0.000000,6130.0000,5959.00
HD 95338 b,3.89000000,42.44000000,0.197000,7.4200,5212.00
HIP 116454 b,2.53000000,10.10000000,0.089000,51.4000,5089.00
HIP 116454 b,2.46900000,9.70000000,0.215000,51.2858,5048.00
HIP 65 A b,22.75427000,1021.18779000,0.000000,661.0000,4590.00
HIP 8152 b,2.56000000,7.80000000,0.140000,88.9000,5530.00
HIP 8152 c,2.48000000,9.40000000,0.280000,39.9000,5530.00
HIP 9618 b,3.90000000,10.00000000,0.220000,40.3000,5609.00
HIP 9618 b,3.75000000,8.40000000,0.130000,36.8000,5550.00
HIP 9618 c,3.34000000,7.90000000,0.120000,10.7000,5550.00
HIP 9618 c,3.34300000,18.30000000,0.230000,11.7000,5609.00
K2-100 b,3.88000000,21.80000000,0.000000,1915.0000,5945.00
K2-108 b,5.28000000,59.40000000,0.180000,762.0000,5474.00
K2-110 b,2.59200000,15.90000000,0.130000,27.7000,5010.00
K2-111 b,1.82000000,5.58000000,0.100000,490.0000,5775.00
K2-114 b,10.44677001,638.83509807,0.081000,40.0000,4920.00
K2-12 b,2.44000000,5.20000000,0.500000,185.0000,5672.00
K2-131 b,1.69000000,7.90000000,0.000000,4070.0000,5120.00
K2-136 b,1.01400000,4.30000000,0.140000,33.5000,4500.00
K2-136 c,3.00000000,18.10000000,0.047000,11.9100,4500.00
K2-136 d,1.56500000,3.00000000,0.071000,7.0700,4500.00
K2-140 b,13.56286665,295.58041851,0.000000,204.0000,5585.00
K2-140 b,12.27385500,323.86877000,0.120000,188.5000,5654.00
K2-141 b,1.51000000,4.97000000,0.000000,3260.0000,4570.00
K2-141 c,7.00000000,8.00000000,0.092000,39.1000,4570.00
K2-167 b,2.30000000,6.50000000,0.470000,317.0000,6011.00
K2-180 b,2.24179614,11.44182265,0.000000,67.0000,5110.00
K2-182 b,2.69000000,20.00000000,0.040000,146.9000,5170.00
K2-199 b,1.73000000,6.90000000,0.020000,116.2000,4491.00
K2-199 c,2.85000000,12.40000000,0.030000,38.6000,4491.00
K2-216 b,1.75000000,8.00000000,0.000000,248.0000,4503.00
K2-222 b,2.35000000,8.70000000,0.160000,96.0000,5942.00
K2-233 b,1.31500000,2.40000000,0.000000,269.0000,4796.00
K2-233 c,1.27200000,4.60000000,0.000000,66.2000,4796.00
K2-233 d,2.36300000,10.30000000,0.180000,12.7000,4796.00
K2-237 b,16.19697711,433.20011874,0.042000,1860.0000,6360.00
K2-24 b,5.68000000,21.00000000,0.000000,60.0000,5743.00
K2-24 c,7.82000000,27.00000000,0.000000,24.0000,5743.00
K2-25 b,3.44000000,24.50000000,0.428000,9.9100,3207.00
K2-261 b,9.52763359,59.75174052,0.286000,180.0000,5445.00
K2-261 b,9.50521563,67.69745069,0.248000,180.0000,5503.00
K2-263 b,2.41000000,14.90000000,0.150000,8.1700,5368.00
K2-266 c,0.70500000,0.29013072,0.042000,32.4000,4285.00
K2-266 d,2.93000000,8.90000000,0.047000,13.9500,4285.00
K2-266 e,2.73000000,14.30000000,0.043000,9.5810,4285.00
K2-27 b,4.48000000,30.90000000,0.251000,116.0000,5248.00
K2-285 b,2.59000000,9.68000000,0.000000,234.3100,4975.00
K2-285 c,3.53000000,15.68000000,0.000000,50.3500,4975.00
K2-285 d,2.48000000,6.50000000,0.000000,24.6100,4975.00
K2-285 e,1.95000000,10.70000000,0.000000,10.5000,4975.00
K2-291 b,1.58900000,6.49000000,0.000000,633.0000,5520.00
K2-292 b,2.63000000,24.50000000,0.040000,67.0000,5725.00
K2-3 b,2.25000000,6.47000000,0.094000,11.6000,3835.00
K2-3 b,2.07800000,5.11000000,0.107000,10.5000,3844.00
K2-3 c,1.58200000,2.68000000,0.048000,3.1700,3844.00
K2-3 c,1.69000000,3.30000000,0.095000,3.5100,3835.00
K2-3 d,1.45800000,2.20000000,0.091000,1.4400,3844.00
K2-3 d,1.62000000,1.60000000,0.097000,1.6000,3835.00
K2-32 b,5.13000000,16.50000000,0.000000,77.7000,5275.00
K2-32 c,3.01000000,12.10000000,0.000000,25.6000,5275.00
K2-32 d,3.43000000,10.30000000,0.000000,14.5000,5275.00
K2-329 b,8.67576600,82.63580000,0.069700,45.7000,5282.00
K2-36 b,1.43000000,4.30000000,0.093000,519.0000,4916.00
K2-36 b,1.43000000,3.90000000,0.000000,529.0000,4916.00
K2-36 c,3.20000000,7.80000000,0.000000,90.0000,4916.00
K2-36 c,3.20000000,7.90000000,0.089000,89.0000,4916.00
K2-38 b,1.54000000,7.30000000,0.197000,426.0000,5731.00
K2-38 b,1.65500000,7.70000000,0.110000,490.0000,5705.00
K2-38 c,2.29000000,8.30000000,0.161000,117.0000,5731.00
K2-38 c,2.49000000,7.40000000,0.086000,135.3000,5705.00
K2-39 b,5.71000000,39.80000000,0.152000,1356.0000,4912.00
K2-419 A b,10.55000000,196.00000000,0.042000,3.3000,3711.00
K2-66 b,2.49000000,21.30000000,0.000000,840.0000,5887.00
K2-77 b,2.30000000,603.87700000,0.140000,58.0000,4970.00
K2-79 b,4.09000000,9.20000000,0.230000,181.0000,5897.00
KELT-11 b,15.35633000,61.97685000,0.000000,1433.0000,5370.00
KELT-12 b,19.95202000,301.93850000,0.000000,1749.0000,6279.00
KELT-18 b,17.59813000,375.03940000,0.000000,3152.0000,6670.00
KELT-21 b,17.77747400,1242.71530000,0.000000,2950.0000,7598.00
KELT-23 A b,14.82950700,298.12454000,0.000000,991.1830,5899.00
KELT-24 b,14.25784800,1646.35940000,0.077000,750.9000,6509.00
KELT-24 b,12.71098411,1458.83238813,0.031900,624.0000,6426.00
KELT-4 A b,19.04409100,286.68266000,0.000000,1840.0000,6206.00
KELT-9 b,21.19621900,915.35040000,0.000000,44900.0000,10170.00
KOI-134 b,12.03844527,346.43296363,0.160000,45.0000,6160.00
KOI-1783.01,8.86000000,71.00000000,0.000000,5.7000,5922.00
KOI-1783.02,5.44000000,15.00000000,0.000000,2.4900,5922.00
KOI-4777.01,0.51000000,99.20000000,0.000000,320.0000,3515.00
KPS-1 b,11.54527000,346.43470000,0.000000,729.0000,5165.00
Kepler-10 b,1.47000000,3.26000000,0.000000,3820.0000,5708.00
Kepler-10 c,2.35500000,11.40000000,0.130000,18.6800,5708.00
Kepler-102 b,0.46000000,1.10000000,0.100000,90.0000,4909.00
Kepler-102 c,0.56700000,1.70000000,0.094000,61.0000,4909.00
Kepler-102 d,1.15400000,3.00000000,0.092000,36.9000,4909.00
Kepler-102 e,2.17000000,4.70000000,0.089000,20.3000,4909.00
Kepler-102 f,0.86100000,4.30000000,0.100000,10.0000,4909.00
Kepler-103 b,3.48600000,9.80000000,0.093000,149.9000,6009.00
Kepler-103 c,5.45000000,38.00000000,0.095000,5.9500,6009.00
Kepler-107 b,1.53600000,3.80000000,0.100000,1073.0000,5854.00
Kepler-107 c,1.59700000,10.00000000,0.080000,602.0000,5854.00
Kepler-107 d,0.86000000,7.70000000,0.110000,315.0000,5854.00
Kepler-107 e,2.90300000,14.10000000,0.100000,138.7000,5854.00
Kepler-109 b,2.49000000,4.90000000,0.110000,442.0000,5950.00
Kepler-109 c,2.65000000,8.20000000,0.098000,91.0000,5950.00
Kepler-111 c,7.08407580,222.47988490,0.176000,2.4800,5914.00
Kepler-138 b,0.64000000,0.07000000,0.020000,9.9000,3841.00
Kepler-138 c,1.51000000,2.30000000,0.017000,6.8000,3841.00
Kepler-138 d,1.51000000,2.10000000,0.010000,3.4000,3841.00
Kepler-1514 b,12.41957200,1678.14240000,0.401000,3.2300,6145.00
Kepler-1654 b,9.18017100,158.91500000,0.260000,0.3000,5597.00
Kepler-1655 b,2.21300000,5.40000000,0.190000,129.1000,6148.00
Kepler-1661 b,3.87000000,17.00000000,0.057000,0.8800,5100.00
Kepler-1704 b,11.94877343,1322.16617312,0.920000,0.3420,5746.00
Kepler-1708 b,9.96000000,1462.01067220,0.400000,0.5610,6157.00
Kepler-177 b,3.50000000,5.84000000,0.000000,30.4000,5732.00
Kepler-177 c,8.73000000,14.70000000,0.000000,25.4000,5732.00
Kepler-1876 b,0.85300000,2.40000000,0.098000,475.0000,6104.00
Kepler-19 b,2.20900000,6.10000000,0.410000,87.6000,5541.00
Kepler-20 b,1.77300000,9.70000000,0.083000,331.0000,5495.00
Kepler-20 c,2.89400000,11.10000000,0.076000,78.7000,5495.00
Kepler-20 d,2.60600000,13.40000000,0.082000,5.7100,5495.00
Kepler-20 e,0.82100000,0.76000000,0.092000,169.8000,5495.00
Kepler-20 f,0.95200000,1.40000000,0.094000,35.9000,5495.00
Kepler-21 b,1.63900000,7.50000000,0.000000,2749.0000,6305.00
Kepler-22 b,2.10000000,9.10000000,0.720000,1.0130,5596.00
Kepler-278 b,3.95500000,56.00000000,0.696000,110.0000,4965.00
Kepler-278 c,3.26800000,34.90000000,0.616000,54.3000,4965.00
Kepler-29 b,2.55000000,5.00000000,0.000000,55.9000,5378.00
Kepler-29 c,2.34000000,4.50000000,0.000000,34.4000,5378.00
Kepler-323 b,1.38100000,3.90000000,0.095000,1900.0000,6004.00
Kepler-323 c,1.57000000,6.80000000,0.095000,700.0000,6004.00
Kepler-36 b,1.49800000,3.83000000,0.000000,247.0000,5979.00
Kepler-36 c,3.67900000,7.13000000,0.000000,191.0000,5979.00
Kepler-37 b,0.30980000,0.79000000,0.098000,44.5000,5357.00
Kepler-37 c,0.75500000,1.30000000,0.099000,23.9000,5357.00
Kepler-37 d,2.03000000,2.00000000,0.100000,10.3900,5357.00
Kepler-391 b,2.50000000,1100.00000000,0.460000,690.0000,5038.00
Kepler-391 c,2.88000000,450.00000000,0.270000,179.0000,5038.00
Kepler-409 b,1.19900000,6.00000000,0.690000,6.1500,5421.00
Kepler-454 b,2.37000000,5.40000000,0.320000,117.7000,5687.00
Kepler-538 b,2.21500000,12.90000000,0.210000,5.0700,5534.00
Kepler-538 b,2.21500000,10.60000000,0.041000,2.9900,5547.00
Kepler-553 c,11.57887706,2129.45032690,0.346000,0.5890,5191.00
Kepler-68 b,2.35700000,8.03000000,0.090000,441.0000,5847.00
Kepler-68 c,0.97900000,1.30000000,0.099000,204.0000,5847.00
Kepler-78 b,1.20100000,1.68000000,0.000000,4070.0000,5058.00
Kepler-849 b,8.08167508,298.75870258,0.078000,2.8600,5950.00
Kepler-93 b,1.47800000,4.66000000,0.000000,275.0000,5669.00
L 98-59 b,0.85000000,0.40000000,0.103000,24.7000,3415.00
L 98-59 b,0.83700000,0.46000000,0.031000,24.5000,3415.00
L 98-59 c,1.32900000,2.00000000,0.002000,12.7000,3415.00
L 98-59 c,1.38500000,2.22000000,0.103000,12.8000,3415.00
L 98-59 d,1.52100000,1.94000000,0.074000,5.0100,3415.00
L 98-59 d,1.62700000,1.64000000,0.006000,4.9700,3415.00
LHS 1140 b,1.72700000,6.98000000,0.060000,0.5030,3216.00
LHS 1140 b,1.43000000,6.65000000,0.290000,0.4600,3131.00
LHS 1140 b,1.73000000,5.60000000,0.043000,0.4300,3096.00
LHS 1140 c,1.27200000,1.91000000,0.050000,5.3000,3096.00
LHS 1140 c,1.28200000,1.81000000,0.310000,6.1600,3216.00
LHS 1678 b,0.69600000,0.35000000,0.250000,93.2000,3490.00
LHS 1678 c,0.98200000,1.40000000,0.220000,13.5000,3490.00
LHS 1903 b,1.38200000,3.28000000,0.015000,66.6600,3664.00
LHS 1903 c,2.04600000,4.55000000,0.089000,16.2000,3664.00
LHS 1903 d,2.50000000,5.96000000,0.112000,6.3500,3664.00
LHS 1903 e,1.73200000,5.79000000,0.014000,2.0500,3664.00
LP 791-18 c,2.43800000,7.10000000,0.000080,2.6370,2960.00
LP 791-18 d,1.03200000,0.90000000,0.001500,5.8300,2960.00
LTT 1445 A b,1.30500000,2.87000000,0.110000,5.4000,3340.00
LTT 1445 A c,1.14700000,1.54000000,0.223000,10.9000,3340.00
LTT 3780 b,1.32500000,2.46000000,0.000000,111.0000,3358.00
LTT 3780 b,1.33200000,2.62000000,0.000000,106.0000,3331.00
LTT 3780 b,1.35000000,2.34000000,0.064000,116.0000,3360.00
LTT 3780 c,2.42000000,6.29000000,0.115000,2.8800,3360.00
LTT 3780 c,2.30000000,8.60000000,0.060000,2.6300,3331.00
LTT 3780 c,2.39000000,8.04000000,0.024000,2.7600,3358.00
NGTS-1 b,14.90797000,258.07796000,0.016000,65.3000,3916.00
NGTS-12 b,11.74703200,66.10864000,0.000000,416.0000,5690.00
NGTS-13 b,12.80067800,1538.29720000,0.086000,1096.0000,5819.00
NGTS-15 b,12.32987877,238.68913366,0.000000,425.0000,5600.00
NGTS-16 b,14.57167491,211.99154747,0.000000,480.0000,5550.00
NGTS-17 b,13.89913607,242.82090295,0.000000,1160.0000,5650.00
NGTS-18 b,13.56286665,129.99181846,0.000000,845.0000,5610.00
NGTS-26 b,14.88552637,92.80589484,0.000000,523.0000,5550.00
NGTS-27 b,15.64773706,188.47224535,0.000000,1680.0000,5700.00
NGTS-31 b,18.04645893,355.96781584,0.000000,643.0000,5710.00
NGTS-32 b,15.91675259,181.16219199,0.000000,1554.0000,5680.00
NGTS-33 b,18.38272835,1153.71711741,0.000000,2620.0000,7437.00
NGTS-8 b,12.21781000,295.58190000,0.010000,503.0000,5241.00
NGTS-9 b,11.99363000,921.70700000,0.060000,729.0000,6330.00
PH2 b,9.33708092,87.08498352,0.215000,1.2000,5734.00
Qatar-3 b,12.28506400,1369.84730000,0.000000,1330.0000,6007.00
Qatar-4 b,12.72221500,1938.76300000,0.000000,614.0000,5215.00
Qatar-5 b,12.40836300,1373.02560000,0.000000,669.0000,5747.00
Ross 176 b,1.84000000,4.57000000,0.250000,36.2000,4041.00
TIC 139270665 b,7.22979255,147.15455244,0.105000,40.3000,5844.00
TIC 393818343 b,12.18416202,1379.37528638,0.605800,2.2800,5756.00
TOI-1052 b,2.87000000,16.90000000,0.180000,246.0000,6146.00
TOI-1062 b,2.26500000,10.15000000,0.177000,232.0000,5328.00
TOI-1064 b,2.58700000,13.50000000,0.047000,62.9000,4734.00
TOI-1064 c,2.65100000,2.50000000,0.088000,26.8000,4734.00
TOI-1075 b,1.79100000,9.95000000,0.000000,509.2000,3875.00
TOI-1107 b,14.57167491,1064.72516345,0.025000,532.0000,6311.00
TOI-1117 b,2.46000000,8.90000000,0.000000,928.0000,5635.00
TOI-1130 b,3.56000000,19.28000000,0.054100,78.1000,4350.00
TOI-1130 c,13.32000000,325.69000000,0.045700,30.0000,4350.00
TOI-1173 b,9.19000000,27.40000000,0.023000,132.0000,5350.00
TOI-1201 b,2.41500000,6.28000000,0.000000,40.6000,3476.00
TOI-1203 b,1.52000000,3.51000000,0.067000,572.2000,5737.00
TOI-1203.01,2.91800000,7.39000000,0.032000,51.0000,5737.00
TOI-1221 b,2.91000000,1112.39942450,0.210000,6.0600,5592.00
TOI-1231 b,3.65000000,15.40000000,0.087000,1.9300,3553.00
TOI-1235 b,1.73800000,6.91000000,0.150000,53.6000,3872.00
TOI-1238 b,1.21000000,3.76000000,0.250000,442.0000,4089.00
TOI-1238 c,2.11000000,8.32000000,0.150000,63.0000,4089.00
TOI-125 b,2.72600000,9.50000000,0.194000,185.0000,5320.00
TOI-125 c,2.75900000,6.63000000,0.066000,77.5900,5320.00
TOI-125 d,2.93000000,13.60000000,0.168000,26.7000,5320.00
TOI-1260 b,2.41000000,8.56000000,0.000000,95.5800,4227.00
TOI-1260 b,2.34000000,8.60000000,0.000000,91.0000,4227.00
TOI-1260 c,2.76000000,13.20000000,0.000000,29.8100,4227.00
TOI-1260 c,2.82000000,11.80000000,0.000000,28.4000,4227.00
TOI-1260 d,3.12000000,11.84000000,0.000000,10.3200,4227.00
TOI-1266 b,2.62000000,4.23000000,0.220000,5.5000,3618.00
TOI-1266 b,2.37000000,13.50000000,0.090000,4.9000,3600.00
TOI-1266 b,2.45800000,15.90000000,0.000000,4.7200,3573.00
TOI-1266 c,1.56000000,2.20000000,0.040000,2.3000,3600.00
TOI-1266 c,2.13000000,2.88000000,0.340000,2.7000,3618.00
TOI-1266 c,1.67300000,6.40000000,0.000000,2.4200,3573.00
TOI-1295 b,15.69257298,451.31633794,0.024000,1800.0000,6280.00
TOI-132 b,3.42000000,22.40000000,0.059000,860.0000,5397.00
TOI-1386 b,6.05284958,47.03860424,0.061000,34.6800,5793.00
TOI-1416 b,1.62000000,3.48000000,0.000000,883.0000,4884.00
TOI-1420 b,11.89000000,25.10000000,0.170000,139.0000,5510.00
TOI-1431 b,16.70138124,991.62462984,0.002200,5300.0000,7690.00
TOI-1437 b,2.24000000,9.60000000,0.170000,82.0000,6008.00
TOI-1438 b,3.04000000,9.40000000,0.000000,145.0000,5230.00
TOI-1438 c,2.75000000,10.60000000,0.000000,65.0000,5230.00
TOI-1448 b,2.74900000,19.50000000,0.360000,5.4500,3412.00
TOI-1452 b,1.67200000,4.82000000,0.000000,1.8000,3185.00
TOI-1453 b,1.17300000,2.32000000,0.000000,132.6000,4975.00
TOI-1453 c,2.22400000,2.95000000,0.000000,75.3000,4975.00
TOI-1468 b,1.40100000,3.04000000,0.009900,36.4000,3376.00
TOI-1468 c,2.12600000,4.10000000,0.111000,2.1300,3376.00
TOI-1470 b,2.18000000,7.32000000,0.300000,46.3000,3709.00
TOI-1470 c,2.47000000,7.24000000,0.500000,3.3500,3709.00
TOI-157 b,14.41477400,375.03940000,0.000000,1062.0000,5404.00
TOI-1634 b,1.79000000,4.91000000,0.160000,121.0000,3550.00
TOI-1685 b,1.46800000,3.03000000,0.000000,236.0000,3575.00
TOI-169 b,12.17297400,251.40353000,0.000000,1443.0000,5880.00
TOI-1695 b,1.90000000,6.36000000,0.097000,39.0000,3690.00
TOI-1695 b,2.03000000,5.50000000,0.000000,27.0000,3650.00
TOI-1696 b,3.24000000,56.60000000,0.000000,13.5000,3168.00
TOI-1710 b,5.15000000,18.40000000,0.185000,33.0000,5730.00
